Status,Course_Name,Scholarship_Label,Tuition_Label,Debtor_Label,Gender_Label,Approved_2nd_Sem_Bin,Grade_2nd_Sem_Bin,Age_Group,Is_Dropout
Dropout,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,1
Graduate,Tourism,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,15-20,0
Dropout,Communication Design,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,1
Graduate,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,31+,0
Graduate,Management (Evening),Tidak Beasiswa,Lunas,Menunggak,Laki-laki,5-6,11-12,31+,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Dropout,Tourism,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Laki-laki,0,0,21-23,1
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,21-23,0
Dropout,Social Service,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,1-2,13-14,15-20,1
Graduate,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Graduate,Tourism,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,21-23,0
Graduate,Veterinary Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Dropout,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Enrolled,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,11-12,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Graduate,Equinculture,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Enrolled,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Animation & Multimedia Design,Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,21-23,0
Enrolled,Oral Hygiene,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,11-12,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Advertising & Marketing Mgmt,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Enrolled,Social Service,Beasiswa,Lunas,Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,0
Enrolled,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Enrolled,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,15-20,0
Enrolled,Agronomy,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,11-12,21-23,0
Graduate,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,3-4,13-14,15-20,0
Enrolled,Management,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Laki-laki,1-2,13-14,15-20,0
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,31+,0
Dropout,Biofuel Production,Tidak Beasiswa,Belum Lunas,Menunggak,Laki-laki,1-2,1-10,31+,1
Dropout,Informatics Engineering,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,31+,1
Dropout,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,11-12,31+,1
